Diff	Filename	Token Count	Text Length	Word Count	Punctuation Count	Number Count	Whitespace Count	Lines	Sentence Count	Predicted Token Count	Mistral Token Count
77	0.abap	185	893	59	122	25	181	17	100	108	258
-176	1.abap	2130	7287	755	345	80	1526	281	108	2306	2774
-143	2.abap	1397	4997	469	284	125	970	161	67	1540	1822
-39	3.abap	940	3502	345	136	60	822	109	40	979	1264
0	4.abap	1905	6605	568	294	104	1296	230	116	1905	2492
12	5.abap	1079	3578	424	133	45	1023	126	47	1067	1412
25	6.abap	3379	11388	1168	498	185	2861	365	132	3354	4550
39	7.abap	53	189	15	12	7	26	3	6	14	77
20	8.abap	46	285	19	6	1	22	5	1	26	60
38	9.abap	51	189	15	12	7	34	3	6	13	72
-33	10.abap	5577	19513	1920	961	497	4261	542	258	5610	7487
-27	11.abap	1486	5569	529	149	115	1320	165	47	1513	1976
30	12.abap	43	189	15	12	7	56	3	6	13	60
-97	13.abap	1896	6489	598	311	196	1065	206	78	1993	2490
235	14.abap	3176	10735	1101	359	242	2729	293	99	2941	4191
26	15.abap	111	540	30	12	8	92	11	3	85	151
43	16.abap	56	189	15	12	7	30	3	6	13	75
-123	17.abap	12346	42682	4015	1906	1211	9999	1233	511	12469	16815
132	18.abap	1821	6154	615	202	104	1509	182	56	1689	2415
-6	19.abap	310	1095	100	63	16	160	39	17	316	410
33	20.abap	46	189	15	12	7	50	3	6	13	65
-97	21.abap	1071	3850	410	183	77	896	131	58	1168	1397
-246	22.abap	2835	10104	1049	446	252	2430	330	138	3081	3699
20	23.abap	1495	4700	490	203	174	1004	148	54	1475	1920
-4	24.abap	3831	13108	1164	594	418	2388	380	169	3835	5086
13	25.abap	167	963	62	33	27	265	15	21	154	260
53	26.abap	1208	4160	368	151	146	995	115	49	1155	1624
-92	27.abap	1175	4235	454	189	81	903	139	54	1267	1553
-77	28.abap	1093	3743	366	187	56	753	138	48	1170	1399
143	29.abap	18300	64322	6072	2337	1530	17632	1901	749	18157	24857
75	30.abap	1212	4156	368	151	131	995	115	49	1137	1625
26	31.abap	48	303	19	18	1	22	6	14	22	68
39	32.abap	80	331	28	16	12	105	5	9	41	117
5	33.abap	158	963	62	33	27	289	15	21	153	243
115	34.abap	1302	5053	441	137	87	921	116	39	1187	1834
15	35.abap	849	2870	286	152	57	584	93	51	834	1113
982	36.abap	35756	129743	11105	3854	3285	35310	3590	1274	34774	49891
82	37.abap	191	894	59	121	25	177	17	99	109	257
10	38.abap	91	425	24	18	8	33	11	3	81	130
20	39.abap	567	2450	184	36	61	723	54	5	547	780
-30	40.abap	222	1309	63	18	18	141	31	6	252	329
-38	41.abap	3020	10608	1036	508	177	1995	331	156	3058	3869
25	42.abap	569	1909	188	85	31	450	58	9	544	750
-85	43.abap	8599	29896	3063	1338	802	7261	866	431	8684	11278
390	44.abap	7968	29629	2471	1036	528	7204	828	440	7578	10706
-43	45.abap	903	2961	301	174	108	517	93	41	946	1168
9	46.abap	807	2665	238	161	52	377	92	52	798	1079
88	47.abap	1196	4487	428	147	83	896	105	34	1108	1589
61	48.abap	1180	4112	402	198	72	935	122	74	1119	1561
48	49.abap	2827	9962	956	469	152	1964	297	142	2779	3700
-42	50.abap	1591	5432	478	253	76	980	198	81	1633	2010
37	51.abap	78	331	28	16	12	114	5	9	41	111
107	52.abap	2029	6837	600	335	115	1261	213	108	1922	2686
54	53.abap	1739	6398	576	217	122	1615	175	56	1685	2403
-168	54.abap	2225	7641	742	403	183	1290	257	105	2393	2854
63	55.abap	1889	6268	781	271	75	1646	202	100	1826	2521
41	56.abap	82	331	28	16	12	108	5	9	41	112
20	57.abap	46	285	19	6	1	22	5	1	26	60
484	58.abap	5022	16976	1656	511	343	4163	470	169	4538	6794
356	59.abap	9138	33643	2914	1246	574	7561	942	461	8782	12370
-9	60.abap	738	2450	211	122	56	380	86	31	747	916
20	61.abap	46	285	19	6	1	22	5	1	26	60
16	62.abap	78	385	20	12	8	32	9	3	62	102
30	63.abap	115	541	30	12	8	91	11	3	85	153
26	64.abap	48	303	19	18	1	22	6	14	22	68
28	65.abap	113	540	30	12	8	92	11	3	85	153
37	66.abap	258	1293	90	43	37	404	20	26	221	363
-9	67.abap	1932	6700	574	294	104	1351	236	116	1941	2526
25	68.abap	246	1293	90	43	37	424	20	26	221	360
36	69.abap	77	331	28	16	12	111	5	9	41	111
26	70.abap	48	303	19	18	1	22	6	14	22	68
17	71.abap	565	2455	184	36	61	723	54	5	548	780
-100	72.abap	8559	32860	3207	1364	695	8933	810	364	8659	11375
14	73.abap	76	383	20	12	8	34	9	3	62	102
-159	74.abap	7725	26616	2284	1063	591	5583	873	292	7884	10514
-60	75.abap	891	3037	242	186	86	434	110	62	951	1216
106	76.abap	2994	10465	934	547	228	2464	285	147	2888	3950
-533	77.abap	8403	31652	2995	1397	830	7893	869	378	8936	11383
30	78.abap	115	542	30	12	8	90	11	3	85	157
36	79.abap	365	1170	90	65	9	133	48	30	329	505
71	80.abap	179	893	59	122	25	181	17	100	108	252
123	81.abap	15366	54415	5167	1717	1107	16478	1714	710	15243	21072
14	82.abap	732	2778	264	49	63	731	77	11	718	969
26	83.abap	811	2770	273	150	54	544	85	48	785	1053
49	84.abap	207	962	61	31	29	185	15	19	158	302
22	85.abap	243	1293	90	43	37	414	20	26	221	362
87	86.abap	1290	5132	454	184	48	1339	127	61	1203	1735
-175	87.abap	1482	5206	497	298	177	1003	165	68	1657	1953
