Diff	Filename	Token Count	Text Length	Word Count	Punctuation Count	Number Count	Whitespace Count	Lines	Sentence Count	Predicted Token Count	Mistral Token Count
-108	annotated-@zcol_003.fugr.zcol_003_get_table_as_jsongzip.abap	2179	9699	1207	305	40	2015	213	137	2287	2841
-104	annotated-@zcl_log_converter.clas.testclasses.abap	1173	4905	659	155	12	1046	143	76	1277	1479
23	annotated-@zcol_120_tier.fugr.lzcol_120_tierf00.abap	86	541	56	20	0	59	8	16	63	112
-3	annotated-@zcol_116_dun_correspond.fugr.zcol_116_create_dun_correspond.abap	1360	5276	559	159	141	1186	124	61	1363	1788
-256	annotated-@zcl_col_000_tvarvc_range_desc.clas.testclasses.abap	1884	8537	1022	265	96	1489	210	135	2140	2480
-66	annotated-@zcl_col_116_delete_corr.clas.abap	2287	9923	1178	246	29	2520	250	134	2353	2982
6	annotated-@zcol_120_range.fugr.tableframe_zcol_120_range.abap	234	1249	139	27	12	201	17	8	228	284
-48	annotated-@zcl_col_136.clas.abap	1917	7972	1041	212	23	1871	202	96	1965	2357
5	annotated-@zcol_120_legacy_logic.fugr.zcol_120_legacy_set_bp.abap	142	743	81	20	6	90	14	6	137	184
1	annotated-@zcol_120_tier.fugr.tableproc_zcol_120_tier.abap	117	664	67	16	9	81	12	6	116	158
84	annotated-@zcol_120.fugr.zcol_120_z201.abap	1894	7325	879	174	68	1773	185	81	1810	2485
181	annotated-@zcl_col_136_termination_letter-02.clas.abap	15380	59190	6363	1479	683	17674	1711	844	15199	20882
-1	annotated-@zcl_col_100_sender_id.clas.abap	1137	4521	615	134	77	924	107	77	1138	1492
-53	annotated-@zcl_col_000_ztvarvc.clas.testclasses.abap	885	3867	514	113	27	683	91	54	938	1075
33	annotated-@zcol_120_bptype.fugr.lzcol_120_bptypet00.abap	284	1482	151	133	29	269	23	104	251	366
-49	annotated-@zcl_blog.clas.testclasses.abap	2846	11639	1364	452	108	2894	288	214	2895	3791
-283	annotated-@zcl_col_136_termination_letter.clas.testclasses.abap	1677	7825	1038	258	101	1544	173	112	1960	2186
11	annotated-@zcol_120_horizon.fugr.saplzcol_120_horizon.abap	376	1963	183	62	36	487	26	30	365	521
10	annotated-@zcol_116_dun_correspond.fugr.zcol_116_send_dunning_email.abap	993	4548	457	92	29	1376	96	31	983	1308
22	annotated-@zcol_120_range.fugr.lzcol_120_rangetop.abap	166	854	102	28	14	185	10	12	144	212
-50	annotated-@zcl_col_120_cds_01.clas.testclasses.abap	1643	6541	867	183	128	1381	153	84	1693	2081
18	annotated-@zcol_116_dunn_email.fugr.zcol_116_get_email_recipients.abap	1227	5243	600	127	57	1068	109	54	1209	1618
-155	annotated-@zcl_minilog.clas.testclasses.abap	5203	21077	2402	805	168	5322	576	423	5358	7033
6	annotated-@zcol_120_bptype.fugr.tableproc_zcol_120_bptype.abap	162	901	102	18	9	114	13	7	156	196
-299	annotated-@zcl_col_003_compare.clas.testclasses.abap	1887	7904	1076	274	53	1624	260	177	2186	2469
38	annotated-@zcol_120_legacy_logic.fugr.saplzcol_120_legacy_logic.abap	301	1458	123	49	22	279	22	26	263	411
138	annotated-@zcl_minilog.clas.abap	7361	29921	2977	793	260	7712	832	576	7223	9924
-181	annotated-@zcl_col_120_lite.clas.testclasses.abap	810	3975	521	136	43	714	95	64	991	1065
334	annotated-@zcl_col_116_dunning_brf_util.clas.abap	5306	20157	2342	441	280	4849	484	233	4972	7053
23	annotated-@zcol_120_bptype.fugr.lzcol_120_bptypef00.abap	86	541	56	20	0	59	8	16	63	112
-850	annotated-@zcol_003.prog.abap	8760	38323	4418	1277	544	9316	876	516	9610	11640
29	annotated-@zcol_120_blart.fugr.lzcol_120_blarttop.abap	209	982	118	35	22	201	11	13	180	266
18	annotated-@zcol_120_bptype.fugr.saplzcol_120_bptype.abap	392	2029	189	63	36	503	26	30	374	507
-582	annotated-@zcl_col_120_legacy_logic.clas.abap	11053	48897	4831	945	1177	13493	1032	515	11635	15218
261	annotated-@zcl_log_converter.clas.abap	2426	8696	975	218	82	1669	243	156	2165	3079
-305	annotated-@zcl_col_120.clas.abap	11705	43843	4989	1557	794	10973	1233	685	12010	15976
-7	annotated-@zcol_116_dunn_harmoni.fugr.zcol_116_dunn_1712_event_disp.abap	975	4190	486	74	60	953	88	22	982	1231
2	annotated-@zcol_120_range.fugr.tableproc_zcol_120_range.abap	118	662	62	15	12	75	12	6	116	156
-268	annotated-@zcl_col_000_ztvarvc_range_desc.clas.abap	3901	16326	2156	515	138	4499	433	280	4169	5112
-95	annotated-@zcol_116_dunn_harmoni.fugr.zcol_116_dunn_mass_evnt_1712.abap	896	3668	366	86	138	752	93	35	991	1210
-12	annotated-@zif_llm_120.intf.abap	655	2750	338	81	21	600	64	20	667	842
-9	annotated-@zcol_003.fugr.saplzcol_003.abap	234	1400	123	43	26	350	19	24	243	328
9	annotated-@zcol_120_blart.fugr.saplzcol_120_blart.abap	349	1842	164	60	36	488	25	29	340	487
-349	annotated-@zcl_col_120_lite.clas.abap	11914	45257	5108	1609	806	11058	1227	666	12263	16189
41	annotated-@zcol_120_horizon.fugr.lzcol_120_horizont00.abap	318	1610	167	129	34	281	24	103	277	421
759	annotated-@zcol_136_job.prog.abap	6128	22962	2674	632	232	5436	467	264	5369	8082
25	annotated-@zcol_003.fugr.lzcol_003top.abap	101	534	65	22	6	106	6	8	76	124
-1	annotated-@zcol_116_dunn_harmoni.fugr.zcol_116_wli_dis_crh_store.abap	694	3196	303	49	59	842	60	11	695	911
21	annotated-@zcol_120_bptype.fugr.lzcol_120_bptypei00.abap	95	559	64	10	0	67	7	3	74	113
8	annotated-@zcol_120_horizon.fugr.tableproc_zcol_120_horizon.abap	156	840	86	18	12	97	13	7	148	206
-106	annotated-@zcl_col_136_brl_extractor.clas.testclasses.abap	1693	7041	860	220	22	1362	201	115	1799	2117
-300	annotated-@zcl_col_120_rsql.clas.abap	2770	11435	1506	345	150	2887	332	203	3070	3631
215	annotated-@zcol_120_legacy_logic.fugr.zcol_120_legacy_z202.abap	1602	5742	698	151	24	1076	144	77	1387	2083
21	annotated-@zcol_120_horizon.fugr.lzcol_120_horizoni00.abap	95	559	64	10	0	67	7	3	74	113
23	annotated-@zcol_120_blart.fugr.lzcol_120_blartf00.abap	86	541	56	20	0	59	8	16	63	112
92	annotated-@zcl_col_116_dunning_excp.clas.abap	2097	8504	1020	200	86	2059	187	93	2005	2911
-378	gpt-3.5-@zcl_col_000_tvarvc_range_desc.clas.abap	3981	16567	2163	530	151	4422	460	264	4359	5254
-79	annotated-@zcl_col_003_compare_list.clas.abap	539	2428	308	80	21	479	71	45	618	701
248	annotated-@zcl_col_136_termination_letter-01.clas.abap	15029	56221	6070	1449	682	17381	1719	857	14781	20429
10	annotated-@zcol_120_horizon.fugr.tableframe_zcol_120_horizon.abap	257	1314	149	36	9	209	18	8	247	316
-107	annotated-@zcl_col_120_rsql.clas.testclasses.abap	940	4064	552	150	66	768	96	68	1047	1205
-45	annotated-@zcl_col_116_dunning_email.clas.abap	18139	68109	7249	2050	1196	18809	1905	907	18184	24620
7	annotated-@zcol_120_tier.fugr.tableframe_zcol_120_tier.abap	253	1340	143	31	12	206	18	8	246	316
-60	annotated-@zcl_col_116_get_email.clas.abap	3241	12340	1535	429	73	3228	368	194	3301	4362
-256	annotated-@zcl_col_003_compare.clas.abap	7968	31315	4010	1028	389	8208	868	607	8224	10384
21	annotated-@zcol_120_range.fugr.lzcol_120_rangei00.abap	95	559	64	10	0	67	7	3	74	113
18	annotated-@zcl_col_003_simple_email_html.clas.abap	1269	5700	617	156	14	1502	129	84	1251	1710
33	annotated-@zcol_120_bptype.fugr.lzcol_120_bptypetop.abap	154	767	91	25	11	171	9	12	121	193
49	annotated-@zcol_120_tier.fugr.lzcol_120_tiert00.abap	302	1543	163	129	31	289	22	106	253	391
-243	annotated-@zcl_col_000_ztvarvc_range_desc.clas.testclasses.abap	2010	9259	1161	265	90	1628	210	136	2253	2581
-225	annotated-@zcl_col_120_cds_01.clas.abap	3713	15892	1947	410	230	3171	384	269	3938	4919
28	annotated-@zcol_120_tier.fugr.lzcol_120_tiertop.abap	174	870	103	30	14	189	10	13	146	219
-8	annotated-@zcl_col_120_legacy_logic.clas.testclasses.abap	1072	4444	553	122	60	970	99	50	1080	1411
-6	annotated-@zcl_col_003_simple_email_html.clas.testclasses.abap	1252	4766	633	144	38	1232	136	60	1258	1599
15	annotated-@zcol_120_bptype.fugr.tableframe_zcol_120_bptype.abap	219	1174	132	24	6	193	16	8	204	265
4	annotated-@zcol_120_legacy_logic.fugr.zcol_120_legacy_get_log.abap	159	810	92	20	12	101	14	6	155	214
